Filename,Clade2,Clade,Genus,Species,Taxon,Tip_label,Habitat,Diet,Diet2,extinct?,Reconstructed,premax_vent,max_vent,max_d,premax_d,nasal,frontal,parietal,supraocc,occ_condyle,basiocc,pterygoid,palatine,jawjoint,jugal,squamosal,lacrimal,ectopt,ptery_flange,sphenoid,postorb
Crocodylus_porosus usnm 210131 MIRRORED,Crocodylinae,Crocodylidae,Crocodylus,porosus,Crocodylus_porosus,Crocodylus_porosus,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Crocodilus_biporcatus_cranium_MNHN_A_5316,Crocodylinae,Crocodylidae,Crocodylus,biporcatus,Crocodylus_biporcatus,Crocodylus_raninus,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Crocodylus_raninus_AMNH_29294_craniumMIRRORED,Crocodylinae,Crocodylidae,Crocodylus,raninus,Crocodylus_raninus,Crocodylus_raninus,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Crocodylus_rhombifer_MCZ_4042_cranium,Crocodylinae,Crocodylidae,Crocodylus,rhombifer,Crocodylus_rhombifer,Crocodylus_rhombifer,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Crocodylus_siamensis cranium BMNH 1920.1.20.1626,Crocodylinae,Crocodylidae,Crocodylus,siamensis,Crocodylus_siamensis,Crocodylus_siamensis,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gavialis_gangenticus_uf-herp-118998_M20938-39872,Gavialidae,Gavialidae,Gavialis,gangenticus,Gavialis_gangenticus,Gavialis_gangeticus,semi-aquatic/freshwater,Piscivore,Piscivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kaprosuchus combined,Mahajangasuchidae,Mahajangasuchidae,Kaprosuchus,saharicus,Kaprosuchus_saharicus,Kaprosuchus_saharicus,semi-aquatic/freshwater,Carnivore,Carnivore,yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Leidyosuchus_canadensis_TMP_74_10_08,Alligatoroidea,Alligatoroidea ,Leidyosuchus,canadensis,Leidyosuchus_canadensis,Leidyosuchus_canadensis,semi-aquatic/freshwater,Carnivore,Carnivore,yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Marilasuchus_cleaned retrodeformed and mirrored,Notosuchidae,Notosuchia,Mariliasuchus,amarali,Mariliasuchus_amarali,Mariliasuchus_amarali,terrestrial,Insectivore/omnivore,Omnivore/Herbivore,yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mecistops_cataphractus_AMNH_10075_cranium,Crocodylinae,Crocodylidae,Mecistops,cataphractus,Mecistops_cataphractus,Mecistops_cataphractus,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
