,V1
premax_vent,0.91
max_vent,0.6
max_dorsal,0.62
premax_dorsal,0.83
nasal,0.77
frontal,0.68
parietal,0.8
supra_occ,0.7
occ_condyle,0.91
basiocc,0.76
pterygoid,0.79
palatine,0.79
jjoint,0.97
jugal,0.67
squamosal,0.66
lac/prefont,0.78
ectoptery,0.86
ptery_flange,0.96
postorbital,0.75
